PKLT_CD,PKLT_NM,ADDR,PKLT_TYPE,PRK_TYPE_NM,OPER_SE,OPER_SE_NM,TELNO,PRK_STTS_YN,PRK_STTS_NM,TPKCT,NOW_PRK_VHCL_CNT,NOW_PRK_VHCL_UPDT_TM,PAY_YN,PAY_YN_NM,NGHT_PAY_YN,NGHT_PAY_YN_NM,WD_OPER_BGNG_TM,WD_OPER_END_TM,WE_OPER_BGNG_TM,WE_OPER_END_TM,LHLDY_OPER_BGNG_TM,LHLDY_OPER_END_TM,SAT_CHGD_FREE_SE,SAT_CHGD_FREE_NM,LHLDY_CHGD_FREE_SE,LHLDY_CHGD_FREE_SE_NAME,PRD_AMT,STRT_PKLT_MNG_NO,BSC_PRK_CRG,BSC_PRK_HR,ADD_PRK_CRG,ADD_PRK_HR,BUS_BSC_PRK_CRG,BUS_BSC_PRK_HR,BUS_ADD_PRK_HR,BUS_ADD_PRK_CRG,DAY_MAX_CRG,SHRN_PKLT_MNG_NM,SHRN_PKLT_MNG_URL,SHRN_PKLT_YN,SHRN_PKLT_ETC
1367773,가산동 금천교 공영주차장(시),금천구 가산동 691-3,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1.0,24.0,2025-06-02 16:56:36,Y,유료,N,야간 미개방,0900,1900,0900,1500,0000,0000,N,무료,Y,유료,0,1154510100104,200.0,5.0,200.0,5.0,0.0,0.0,0.0,0.0,0.0,*,*,N,*
1367792,당산고가밑 공영주차장(시),영등포구 당산동5가 9-15,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1.0,17.0,2025-06-02 16:56:37,Y,유료,N,야간 미개방,0900,1900,0900,1500,0000,0000,N,무료,Y,유료,,1156011500013,260.0,5.0,260.0,5.0,0.0,0.0,0.0,0.0,0.0,*,*,N,*
1367804,을지로 공영주차장(시),중구 을지로3가 282-8,NS,노상 주차장,1,시간제 주차장,02-2274-2009,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1.0,50.0,2025-06-02 16:56:30,Y,유료,N,야간 미개방,0900,1900,0900,1500,0000,0000,N,무료,Y,유료,,1114015500020,750.0,5.0,750.0,5.0,0.0,0.0,0.0,0.0,0.0,*,*,N,*
1368955,남산공원 소월로 관광버스전용 주차장(시),중구 남대문로5가 450-0,NS,노상 주차장,4,버스전용 주차장,02-2290-6449,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1.0,9.0,2025-06-02 16:56:01,N,무료,N,야간 미개방,0000,0000,0000,0000,0000,0000,Y,유료,Y,유료,0,1114011800207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,*,N,*
1369476,탑골공원 관광버스전용 주차장(시),종로구 종로2가 38-4,NS,노상 주차장,4,버스전용 주차장,02)2290-6449,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1.0,1.0,2025-06-02 16:56:02,N,무료,N,야간 미개방,0000,0000,0000,0000,0000,0000,Y,유료,Y,유료,0,1111013800003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,*,N,*
1372454,대림노외 공영주차장(시),구로구 구로동 120-3,NW,노외 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),93.0,64.0,2025-06-02 16:56:36,Y,유료,N,야간 미개방,0900,1900,0900,1900,0900,1900,N,무료,N,무료,140000,,260.0,5.0,260.0,5.0,0.0,0.0,0.0,0.0,18700.0,*,*,N,*
1372873,도봉산역 공영주차장(시),도봉구 도봉동 288-19,NW,노외 주차장,1,시간제 주차장,02)2290-6047 ,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),358.0,360.0,2025-06-02 16:56:30,Y,유료,N,야간 미개방,0000,2400,0000,2400,0000,2400,N,무료,N,무료,91000,,170.0,5.0,170.0,5.0,0.0,0.0,0.0,0.0,12200.0,*,*,N,*
1384198,동대문 공영주차장(시),중구 신당동 251-7,NW,노외 주차장,1,시간제 주차장,02)2254-4901 ,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1092.0,183.0,2025-06-02 16:56:30,Y,유료,N,야간 미개방,0000,2400,0000,2400,0000,2400,N,무료,N,무료,157000,,360.0,5.0,360.0,5.0,0.0,0.0,0.0,0.0,25900.0,*,*,N,*
1386536,서울글로벌센터 공영주차장(시),종로구 서린동 63-0,NW,노외 주차장,1,시간제 주차장,02-720-9862,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),44.0,27.0,2025-06-02 16:56:30,Y,유료,N,야간 미개방,0900,1800,0000,0000,0000,0000,Y,유료,Y,유료,280000,,700.0,5.0,700.0,5.0,0.0,0.0,0.0,0.0,50400.0,*,*,N,*
1404936,천왕역 공영주차장(시),구로구 천왕동 280-11,NW,노외 주차장,1,시간제 주차장,02-2290-6343,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),327.0,247.0,2025-06-02 16:56:30,Y,유료,N,야간 미개방,0000,2400,0000,2400,0000,2400,N,무료,N,무료,91000,,170.0,5.0,170.0,5.0,0.0,0.0,0.0,0.0,12200.0,*,*,N,*
1424461,DDP북측 마장로 관광버스전용 주차장(시),중구 신당동 222-3,NS,노상 주차장,4,버스전용 주차장,02-2290-6449,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1.0,2.0,2025-06-02 16:56:01,N,무료,N,야간 미개방,0000,2400,0000,2400,0000,2400,N,무료,N,무료,0,1114016200222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,*,N,*
1425816,동국제강 공영주차장(시),중구 삼각동 111-1,NW,노외 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),13.0,5.0,2025-06-02 16:56:35,Y,유료,N,야간 미개방,0900,1900,0900,1900,0000,0000,N,무료,Y,유료,350000,,700.0,5.0,700.0,5.0,0.0,0.0,0.0,0.0,50400.0,*,*,N,*
1427633,DDP동측(양쪽) 관광버스전용 주차장(시),중구 을지로7가 2-36,NS,노상 주차장,4,버스전용 주차장,02-2290-6449,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1.0,9.0,2025-06-02 16:56:01,N,무료,N,야간 미개방,0000,0000,0000,0000,0000,0000,Y,유료,Y,유료,0,1114014900221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,*,N,*
1430035,남대문 초입 관광버스전용 주차장(시),중구 남창동 282-10,NS,노상 주차장,4,버스전용 주차장,02)2290-6449,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1.0,3.0,2025-06-02 16:56:01,N,무료,N,야간 미개방,0000,2400,0000,2400,0000,2400,N,무료,N,무료,0,1114011200195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,*,N,*
1430042,남대문 시장 관광버스전용 주차장(시),중구 남창동 51-4,NS,노상 주차장,4,버스전용 주차장,02)2290-6449,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1.0,3.0,2025-06-02 16:56:01,N,무료,N,야간 미개방,0000,0000,0000,0000,0000,0000,Y,유료,Y,유료,0,1114011200203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,*,N,*
1437917,영남 공영주차장(시),영등포구 영등포동4가 123-0,NW,노외 주차장,1,시간제 주차장,02-1588-1054,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),570.0,349.0,2025-06-02 16:56:30,Y,유료,N,야간 미개방,0000,2400,0000,2400,0000,2400,N,무료,N,무료,110000,,160.0,5.0,160.0,5.0,0.0,0.0,0.0,0.0,11500.0,*,*,N,*
1451364,청계7가 공영주차장(시),종로구 창신동 436-87,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1.0,14.0,2025-06-02 16:56:32,Y,유료,N,야간 미개방,0900,1900,0900,1500,0000,0000,N,무료,Y,유료,0,1111017400026,450.0,5.0,450.0,5.0,0.0,0.0,0.0,0.0,0.0,*,*,N,*
1451370,동순라길(종묘) 관광버스전용 주차장(시),종로구 인의동 107-1,NS,노상 주차장,4,버스전용 주차장,02-2290-6449,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1.0,1.0,2025-06-02 16:56:02,N,무료,N,야간 미개방,0000,0000,0000,0000,0000,0000,Y,유료,Y,유료,0,1111015700003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,*,N,*
1451938,청계1(북) 공영주차장(시),종로구 관철동 13-14,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1.0,7.0,2025-06-02 16:56:32,Y,유료,N,야간 미개방,0900,1900,0900,1500,0000,0000,N,무료,Y,유료,0,1111013500003,750.0,5.0,750.0,5.0,0.0,0.0,0.0,0.0,0.0,*,*,N,*
1452019,청계5(북1) 공영주차장(시),종로구 종로5가 458-2,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1.0,6.0,2025-06-02 16:56:35,Y,유료,N,야간 미개방,0900,1900,0900,1500,0000,0000,N,무료,Y,유료,0,1111016300002,750.0,5.0,750.0,5.0,0.0,0.0,0.0,0.0,0.0,*,*,N,*
1452024,청계5(동호로_북) 공영주차장(시),종로구 종로5가 458-2,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1.0,2.0,2025-06-02 16:56:34,Y,유료,N,야간 미개방,0900,0100,0900,1500,0000,0000,N,무료,Y,유료,0,1111016300001,750.0,5.0,750.0,5.0,0.0,0.0,0.0,0.0,0.0,*,*,N,*
1452025,청계3(창경궁로_북1) 공영주차장(시),종로구 예지동 140-1,NS,노상 주차장,1,시간제 주차장,,1,현재~20분이내 연계데이터 존재(현재 주차대수 표현),1.0,4.0,2025-06-02 16:56:33,Y,유료,N,야간 미개방,0900,1900,0900,1500,0000,0000,N,무료,Y,유료,0,1111015800001,750.0,5.0,750.0,5.0,0.0,0.0,0.0,0.0,0.0,*,*,N,*
1452219,청계2(돈화문로) 공영주차장(시),종로구 관수동 91-4,NS,노상 주차장,1,시간제 주차장,,0,미연계중,1.0,0.0,2024-01-12 18:14:07,Y,유료,N,야간 미개방,0900,1900,0900,1500,0000,0000,N,무료,Y,유료,0,1111015500004,750.0,5.0,750.0,5.0,0.0,0.0,0.0,0.0,0.0,*,*,N,*
1452263,사직로3 관광버스 주차허용 구간(시),종로구 사직동 240-0 (한국갤럽 앞 ~ 풍림스페이스본 버스정류장 전),NS,노상 주차장,4,버스전용 주차장,02)2133-2357,0,미연계중,1.0,0.0,,N,무료,N,야간 미개방,0000,0000,0000,0000,0000,0000,Y,유료,Y,유료,0,1111011500005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,*,*,N,*
